219	arin	DNIC-AS-00219 - Navy Network Information Center (NNIC), US
220	arin	OOALC-HOSTNET-AS - 754th Electronic Systems Group, US
221	arin	WRALC-HOSTNET-AS - 754th Electronic Systems Group, US
222	arin	SMALC-HOSTNET-AS - 754th Electronic Systems Group, US
223	arin	AS223 - Parsons Corporation, US
224	ripencc	UNINETT UNINETT, The Norwegian University & Research Network, NO
225	arin	VIRGINIA-AS - University of Virginia, US
226	arin	LOS-NETTOS-AS - Los Nettos, US
227	arin	DNIC-AS-00227 - Headquarters, USAISC, US
228	arin	DNIC-AS-00228 - DoD Network Information Center, US
229	arin	MERIT-AS-6 - Merit Network Inc., US
230	arin	MERIT-AS-7 - Merit Network Inc., US
231	arin	MERIT-AS-8 - Merit Network Inc., US
232	arin	MERIT-AS-9 - Merit Network Inc., US
233	arin	MERIT-AS-10 - Merit Network Inc., US
234	arin	BLACKROSE-1 - Blackrose Society, US
235	arin	MERIT-AS-12 - Merit Network Inc., US
236	arin	MERIT-AS-13 - Merit Network Inc., US
237	arin	MERIT-AS-14 - Merit Network Inc., US
238	arin	MERIT-AS-15 - Merit Network Inc., US
239	arin	UTORONTO-AS - University of Toronto, CA
240	arin	SAALC-HOSTNET-AS - 754th Electronic Systems Group, US
241	arin	OCALC-HOSTNET-AS - 754th Electronic Systems Group, US
242	arin	SSSD-AS - SUPSHIP, US
243	arin	HARRIS-ATD-AS - Harris Government Systems Sector, US
244	arin	DNIC-AS-00244 - DoD Network Information Center, US
245	arin	PRC-AS - Planning Research Corporation, US
246	arin	ASIFICS-GW-AS - 754th Electronic Systems Group, US
247	arin	ROMENET-AS - Rome Air Development Center, US
248	ripencc	ICEVPN-AS ICEVPN-AS, EU
249	ripencc	PETERCOM-AS AS249, EU
250	ripencc	SACREDCHAO-AS AS250.net Foundation, DE
251	ripencc	KAIAGLOBAL-AS Kaia Global Networks Ltd., GB
252	arin	DNIC-AS-00252 - Headquarters, USAISC, US
253	arin	NTTA-253 - NTT America, Inc., US
254	arin	TWG-NET-AS - The Wollongong Group, US
255	arin	PAFB-GW - 754th Electronic Systems Group, US
256	arin	DNIC-AS-00256 - Navy Network Information Center (NNIC), US
257	arin	DNIC-AS-00257 - Navy Network Information Center (NNIC), US
258	arin	BRAGGSRI-EGP-AS - Headquarters, USAISC, US
259	arin	SCUBED-AS - SCUBED, US
260	arin	XCONNECT24 - Xconnect24 Inc., US
261	ripencc	FR-CINES-MONTPELLIER FR, EU
262	arin	VERIO - NTT America, Inc., US
263	arin	NTTA-263 - NTT America, Inc., US
264	arin	SRINET-AS - SRI International, US
265	arin	DSI-WR-16 - Advanced Info. Technology Servcies, US
266	arin	DHC-USA-INC - DHC USA INCORPORATED, US
267	arin	NETHER-NET - Nether.Net, US
268	arin	USUHSNET-AS - Uniformed Services University of the Health Sciences, US
269	arin	INCSYS-AS - Incremental Systems Corporation, US
270	arin	AS270 - National Aeronautics and Space Administration, US
271	arin	BCNET-AS - BCnet, CA
272	arin	CTNOSC-ASN-272 - Headquarters, USAISC, US
273	arin	DNIC-AS-00273 - DoD Network Information Center, US
274	arin	AINET-AS274 - Advanced Information Technology Services, LLC, US
275	arin	NTTA-275 - NTT America, Inc., US
276	arin	OTS-AS-276 - University of Texas System, US
277	arin	CSC-300-AS277 - Computer Sciences Corporation, US
278	lacnic	Universidad Nacional Autonoma de Mexico, MX
279	arin	LVLT-279 - Level 3 Communications, Inc., US
280	arin	NTTA-280 - NTT America, Inc., US
281	arin	LVLT-281 - Level 3 Communications, Inc., US
282	arin	MERIT-AUX-AS - Merit Technology, Inc., US
283	arin	MPOWERLABS - MPower Labs, Inc., US
284	arin	UUNET-IPV6 - MCI Communications Services, Inc. d/b/a Verizon Business, US
285	arin	DNIC-AS-00285 - Headquarters, USAISC, US
286	ripencc	KPN , NL
287	arin	DNIC-AS-00287 - Navy Network Information Center (NNIC), US
288	ripencc	ESA Robert Bosch Strasse 5, DE
289	arin	DNIC-AS-00289 - Headquarters, USAISC, US
290	arin	SHOWNET-AS - Interop Show Network, US
291	arin	ESNET-EAST - ESnet, US
292	arin	ESNET-WEST - ESnet, US
293	arin	ESNET - ESnet, US
294	ripencc	FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique, EU
295	arin	DNIC-RAS-00295 - DoD Network Information Center, US
296	arin	ACFP-AS - 754th Electronic Systems Group, US
